GATO;ANIMAL QUE MAULLA
SOL;ESTRELLA QUE NOS DA LUZ
MESA;TIENE CUATRO PATAS Y SE USA PARA COMER
AGUA;LIQUIDO NECESARIO PARA VIVIR
LIBRO;SE LEE Y CONTIENE PAGINAS
ZAPATO;SE USA PARA CUBRIR LOS PIES
LLAVE;SIRVE PARA ABRIR PUERTAS
AVION;VUELA POR EL CIELO
RELOJ;SIRVE PARA VER LA HORA
PAN;ALIMENTO HECHO CON HARINA
PERRO;ANIMAL QUE LADRA
LUNA;SATELITE DE LA TIERRA
SILLA;TIENE CUATRO PATAS Y SIRVE PARA SENTARSE
FUEGO;PRODUCE LUZ Y CALOR
PUERTA;SE ABRE Y SE CIERRA
ORDENADOR;SE USA PARA PROCESAR INFORMACION
TELEFONO;SIRVE PARA HABLAR A DISTANCIA
CIELO;SE VE AZUL EN EL DIA
RIO;CORRIENTE DE AGUA NATURAL
MUSICA;ARTE QUE SE ESCUCHA
CAMA;MUEBLE DONDE SE DUERME
CIUDAD;LUGAR DONDE VIVE MUCHA GENTE
ESCULA;LUGAR DONDE SE ESTUDIA
FLOR;PLANTA COLORIDA Y DECORATIVA
DINERO;SE USA PARA COMPRAR COSAS
PAZ;CONCEPTO DE AUSENCIA DE GUERRA
GUERRA;CONFLICTO ENTRE PAISES O GRUPOS
ARTE;EXPRESION CREATIVA HUMANA
TIEMPO;CONCEPTO QUE MIDE EL PASO DE LOS SEGUNDOS
VIDA;ESTADO DE LOS SERES VIVOS
HIPOPOTAMO;ANIMAL GRANDE QUE VIVE EN EL AGUA Y EN TIERRA
ELECTRICIDAD;ENERGIA QUE ALUMBRA Y MUEVE APARATOS
MICROSCOPIO;APARATO PARA VER COSAS MUY PEQUENAS
CONSTITUCION;CONJUNTO DE LEYES FUNDAMENTALES DE UN PAIS
PROGRAMACION;DISCIPLINA DE CREAR CODIGO PARA ORDENADORES
FOTOGRAFIA;ARTE DE CAPTURAR IMAGENES CON UNA CAMARA
METEOROLOGIA;CIENCIA QUE ESTUDIA EL CLIMA Y EL TIEMPO
UNIVERSIDAD;INSTITUCION DONDE SE CURSAN ESTUDIOS SUPERIORES
BIBLIOTECA;LUGAR DONDE SE GUARDAN MUCHOS LIBROS
HELICOPTERO;AERONAVE QUE VUELA GRACIAS A SUS ASPAS

